Wall time,Step,Value
1580151541.662457,50,0.09745092689990997
1580151603.1001518,110,0.09339239448308945
1580151624.2696753,140,0.08048661798238754
1580151631.3479047,150,0.07549600303173065
1580151672.2106895,180,0.08047672361135483
1580151733.925945,240,0.05670462176203728
1580151837.7544417,360,0.04382644221186638
1580151885.5342014,400,0.045622702687978745
1580151899.6738691,420,0.039180006831884384
1580151913.8455243,440,0.04933985695242882
1580151920.9307878,450,0.029751501977443695
1580151935.181939,470,0.03818574175238609
1580151996.6599894,530,0.03945930302143097
1580152003.7718468,540,0.04767481982707977
1580152010.8876088,550,0.03838815540075302
1580152036.998006,560,0.03422090783715248
1580152120.4637055,650,0.029118036851286888
1580152141.7333286,680,0.03212657943367958
1580152163.1343396,710,0.025151869282126427
1580152189.5276954,720,0.03555970638990402
1580152196.5699444,730,0.026659267023205757
1580152203.6771257,740,0.025074666365981102
1580152239.165262,790,0.02802445739507675
1580152315.1804955,870,0.030732762068510056
1580152383.8241935,940,0.03225885331630707
1580152459.9859183,1020,0.0200935248285532
1580152500.4606955,1050,0.02889569103717804
1580152507.5942192,1060,0.034782588481903076
1580152576.1319144,1130,0.027245521545410156
1580152611.4711897,1180,0.02868695929646492
1580152687.3951535,1260,0.02188185416162014
1580152728.1999314,1290,0.034399066120386124
1580152735.2279608,1300,0.021594885736703873
1580152818.680589,1390,0.02381792850792408
1580152832.8687916,1410,0.02537504956126213
1580152839.958848,1420,0.02863300032913685
1580152847.0715632,1430,0.020638417452573776
1580152916.5200703,1500,0.02433011680841446
1580152971.0067902,1550,0.0187402181327343
1580152985.1820076,1570,0.024371089413762093
1580152992.2984746,1580,0.021632304415106773
1580153039.7691438,1620,0.019929993897676468
1580153075.350751,1670,0.02121916227042675
1580153101.2272015,1680,0.019807295873761177
1580153122.449156,1710,0.014497441239655018
1580153183.910891,1770,0.013732514344155788
1580153190.9966424,1780,0.021296123042702675
1580153205.1651955,1800,0.023382319137454033
1580153226.548986,1830,0.016726013273000717
1580153259.7865434,1850,0.023245858028531075
1580153266.918106,1860,0.0254703126847744
1580153281.1026106,1880,0.020363157615065575
1580153295.4131439,1900,0.02109411358833313
1580153302.539068,1910,0.01678132265806198
1580153371.495946,1980,0.013808010146021843
1580153447.5779245,2060,0.013979041017591953
1580153454.7263355,2070,0.013270935975015163
1580153480.8301685,2080,0.028732918202877045
1580153509.146303,2120,0.02341870591044426
1580153599.070438,2220,0.013539949432015419
1580153606.173442,2230,0.008927213959395885
1580153639.4579184,2250,0.02213117852807045
1580153667.7165923,2290,0.013555645011365414
1580153708.1957877,2320,0.013513000681996346
1580153715.2478974,2330,0.0179132129997015
1580153722.3640301,2340,0.015129454433918
1580153743.5917306,2370,0.012927515432238579
1580153866.5382538,2490,0.019640037789940834
1580153909.0760932,2550,0.014756436459720135
1580153949.3200297,2580,0.010093002580106258
1580153963.479428,2600,0.013928866945207119
1580153970.5394688,2610,0.011974203400313854
1580153984.7266073,2630,0.011943715624511242
1580154032.0041335,2670,0.009436225518584251
1580154060.4294019,2710,0.016740821301937103
1580154093.4230537,2730,0.008573620580136776
1580154128.7880259,2780,0.011518527753651142
1580154265.911414,2920,0.010329454205930233
1580154320.367588,2970,0.012724456377327442
1580154327.442477,2980,0.010545903816819191
1580154355.7609751,3020,0.012419245205819607
1580154362.853308,3030,0.010612871497869492
1580154409.9997158,3070,0.006965342443436384
1580154417.0725465,3080,0.007848416455090046
1580154431.2337203,3100,0.00900279264897108
1580154471.681418,3130,0.008107952773571014
1580154507.0924742,3180,0.00960973184555769
1580154514.1868563,3190,0.006487836595624685
1580154540.1878974,3200,0.009581639431416988
1580154575.5204778,3250,0.006857677828520536
1580154582.6030662,3260,0.009395549073815346
1580154589.7020938,3270,0.005924640689045191
1580154629.7824574,3300,0.008888168260455132
1580154712.461197,3390,0.007782457862049341
1580154726.6320386,3410,0.00879522692412138
1580154788.4683187,3470,0.005853952839970589
1580154918.601244,3600,0.008280489593744278
1580154939.8654108,3630,0.007530417758971453
1580154968.2101479,3670,0.0056157042272388935
1580155016.1524222,3710,0.00887893047183752
1580155030.4614978,3730,0.006199492607265711
1580155077.8511539,3770,0.006730038207024336
1580155084.992994,3780,0.006778760813176632
1580155092.0945613,3790,0.006765635684132576
